token_address,ticker,chain,platform,launch_ts,t_window_hours,total_buy_volume_eth,total_buy_volume_eth_decayed,unique_buyers,buyer_volumes_eth_json,lp_depth_eth,lp_removed_24h_eth,early_holders_count,early_holders_still_holding,hp_delta_recent,holder_count,holder_balances_json,outcome_30d_holder_retention,outcome_30d_price_floor,outcome_30d_volume_slope,outcome_30d_composite,outcome_60d_holder_retention,outcome_60d_price_floor,outcome_60d_volume_slope,outcome_60d_composite,outcome_90d_holder_retention,outcome_90d_price_floor,outcome_90d_volume_slope,outcome_90d_composite,name,creator_address,notes
0x000000000000000000000000000000000000000a,SYN0010,base,clanker,1714485600,96,4.7032,2.6242,21,"[0.1244, 0.2707, 0.1737, 0.0118, 0.0795, 0.1482, 0.1031, 0.0106, 0.0809, 0.129, 0.0355, 0.0182, 0.8026, 0.0206, 0.0511, 0.1354, 0.0621, 0.0262, 0.0937, 0.415, 0.0854]",1.8552,0.208,37,14,-0.04193,11,"[5524.64, 1530.55, 1246.82, 1246.51, 893.04, 812.95, 629.94, 186.21, 143.89, 91.65, 61.68]",1,1,1,1,1,1,1,1,1,1,0,0,Synthetic Token 10,0x0000000000000000000000000000000000000034,quality=0.353
0x000000000000000000000000000000000000000b,SYN0011,base,clanker,1714482000,96,4.0358,3.5754,8,"[0.0108, 1.5722, 0.3342, 1.1295, 0.0748, 0.9126, 0.344, 1.1723]",1.5357,0.0,19,1,0.02699,3,"[1880.25, 1070.86, 704.25]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 11,0x0000000000000000000000000000000000000035,quality=0.062
0x000000000000000000000000000000000000000c,SYN0012,base,filterfun,1714478400,96,2.3876,1.3143,54,"[0.0136, 0.0973, 0.0162, 0.0179, 0.0143, 0.0151, 0.0647, 0.0135, 0.1887, 0.0475, 0.0258, 0.0275, 0.0187, 0.0208, 0.2134, 0.0274, 0.0973, 0.044, 0.014, 0.0502, 0.0184, 0.0884, 0.0108, 0.0116, 0.0197, 0.0123, 0.0839, 0.188, 0.0235, 0.0106, 0.0106, 0.0136, 0.0479, 0.0303, 0.0159, 0.0156, 0.0185, 0.0242, 0.0971, 0.0139, 0.051, 0.0473, 0.2415, 0.0187, 0.0347, 0.0466, 0.0222, 0.0267, 0.055, 0.043, 0.03, 0.1346, 0.0289, 0.0107]",5.7637,0.0,12,5,0.01921,45,"[9466.51, 4464.36, 3118.97, 2921.09, 2713.6, 2506.13, 2441.55, 2135.34, 1650.98, 1267.69, 1265.59, 1170.43, 1112.35, 1093.15, 1060.1, 1056.91, 1023.48, 916.16, 914.56, 837.8, 804.41, 681.02, 556.81, 481.79, 417.46, 356.24, 348.25, 333.38, 307.76, 287.17, 253.48, 204.79, 204.78, 174.77, 162.74, 148.59, 135.91, 113.45, 109.1, 82.67, 66.52, 58.64, 43.96, 38.78, 24.39]",1,1,0,0,1,1,1,1,1,1,1,1,Synthetic Token 12,0x0000000000000000000000000000000000000036,quality=0.476
0x000000000000000000000000000000000000000d,SYN0013,base,clanker,1714474800,96,1.078,0.4408,27,"[0.0549, 1.1089, 0.0161, 0.0157, 0.0405, 0.0182, 0.0319, 0.0541, 0.0126, 0.0603, 0.0107, 0.0425, 0.0105, 0.0443, 0.0129, 0.0543, 0.0395, 0.0111, 0.0282, 0.0383, 0.0133, 0.0296, 0.0108, 0.011, 0.1003, 0.0319, 0.0411]",0.984,0.0,5,0,-0.03966,11,"[11875.55, 5180.2, 2482.58, 1307.42, 1033.26, 691.82, 420.67, 366.6, 286.48, 123.59, 33.11]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 13,0x0000000000000000000000000000000000000037,quality=0.142
0x000000000000000000000000000000000000000e,SYN0014,base,clanker,1714471200,96,59.1451,25.6264,6,"[31.1108, 0.2991, 8.0708, 8.8888, 6.0638, 4.414]",2.4893,0.0,7,1,0.01833,10,"[34284.83, 2966.3, 1476.24, 533.11, 458.99, 219.8, 156.13, 121.91, 86.75, 27.32]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 14,0x0000000000000000000000000000000000000038,quality=0.047
0x000000000000000000000000000000000000000f,SYN0015,base,liquid,1714467600,96,2.0213,1.1299,7,"[0.1238, 0.0333, 0.0236, 0.0359, 0.2308, 0.0812, 0.0191]",1.6703,0.0,9,0,0.0839,37,"[86111.24, 15495.76, 13389.98, 5397.24, 4634.66, 3499.52, 3441.19, 2945.08, 2575.53, 2339.9, 2252.08, 1556.93, 1492.89, 1485.26, 969.77, 789.33, 677.72, 517.84, 503.7, 445.44, 441.87, 440.91, 432.98, 424.07, 419.78, 390.21, 305.8, 280.5, 256.76, 221.25, 161.2, 144.22, 142.35, 99.75, 80.22, 69.47, 68.52]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 15,0x0000000000000000000000000000000000000039,quality=0.009
0x0000000000000000000000000000000000000010,SYN0016,base,clanker,1714464000,96,2.8658,2.55,5,"[0.1493, 0.1619, 0.2197, 0.112, 0.4567]",2.1584,0.0,6,0,0.00618,34,"[32172.2, 13988.45, 6698.16, 6521.87, 5413.0, 3236.64, 3226.77, 2775.1, 2659.16, 2562.23, 2520.54, 2418.75, 1703.49, 1596.81, 1382.32, 1175.17, 999.71, 986.54, 893.8, 812.51, 792.7, 581.42, 509.35, 502.04, 437.93, 375.1, 260.91, 233.93, 180.74, 141.93, 119.43, 39.5, 28.14, 26.65]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 16,0x000000000000000000000000000000000000003a,quality=0.004
0x0000000000000000000000000000000000000011,SYN0017,base,bankr,1714460400,96,0.2648,0.1545,5,"[0.0382, 0.0814, 0.0213, 0.0252, 0.0238]",1.5647,0.3219,6,1,0.02343,41,"[470298.08, 66541.01, 56593.64, 55548.58, 50744.04, 13905.18, 8189.75, 5704.11, 4510.57, 3678.81, 3653.74, 3389.32, 3384.07, 2414.71, 2285.68, 2185.07, 1793.05, 1690.5, 1590.08, 1456.83, 1316.06, 1285.79, 1265.92, 1141.98, 1075.57, 895.7, 892.63, 865.32, 783.55, 599.91, 514.48, 495.41, 468.66, 400.71, 396.11, 297.77, 275.04, 227.41, 217.48, 63.34, 54.66]",0,0,0,0,0,0,0,0,1,1,1,0,Synthetic Token 17,0x000000000000000000000000000000000000003b,quality=0.006
0x0000000000000000000000000000000000000012,SYN0018,base,liquid,1714456800,96,8.9628,4.4922,25,"[0.1848, 0.0139, 0.0431, 0.5892, 0.5421, 1.4244, 0.2459, 0.3118, 0.0113, 0.1429, 0.0557, 0.1692, 0.0411, 0.1997, 0.0844, 0.0505, 0.0276, 0.0201, 0.093, 0.0106, 2.5862, 0.1712, 1.3847, 0.1247, 0.6293]",1.9908,0.0,36,13,-0.05783,21,"[45225.12, 13140.26, 4294.24, 3564.9, 3350.16, 2655.49, 1656.0, 1320.14, 1022.18, 976.21, 672.04, 436.8, 435.68, 422.28, 274.29, 247.45, 245.02, 126.87, 115.2, 60.32, 51.18]",0,0,0,0,0,0,0,0,1,1,1,1,Synthetic Token 18,0x000000000000000000000000000000000000003c,quality=0.253
0x0000000000000000000000000000000000000013,SYN0019,base,clanker,1714453200,96,1.2089,0.856,8,"[0.1059, 0.0997, 0.107, 0.0579, 0.0562, 0.0293, 0.1168, 0.5521]",7.5886,0.0,5,1,0.00783,30,"[4671.9, 4272.0, 3287.05, 2922.55, 2513.94, 2391.37, 2089.99, 1463.63, 1036.78, 489.42, 451.27, 410.07, 365.0, 350.24, 260.14, 256.39, 218.44, 211.11, 204.29, 189.19, 165.49, 136.44, 136.37, 86.53, 83.82, 79.9, 74.82, 65.16, 52.03, 13.72]",1,1,1,1,0,0,0,0,0,0,0,0,Synthetic Token 19,0x000000000000000000000000000000000000003d,quality=0.248
0x0000000000000000000000000000000000000014,SYN0020,base,bankr,1714449600,96,0.8379,0.6164,17,"[0.0361, 0.0263, 0.0292, 0.0214, 0.0744, 0.233, 0.1719, 0.0492, 0.0318, 0.0155, 0.0985, 0.0112, 0.0393, 0.0294, 0.0196, 0.0203, 0.0368]",2.094,0.0,5,0,-0.00602,16,"[39870.19, 11506.47, 8485.73, 3579.8, 3318.6, 1980.13, 956.93, 751.14, 714.26, 714.18, 555.7, 469.34, 257.1, 239.54, 157.9, 42.36]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 20,0x000000000000000000000000000000000000003e,quality=0.004
0x0000000000000000000000000000000000000015,SYN0021,base,liquid,1714446000,96,2.0136,1.7988,18,"[0.0223, 0.1063, 0.3274, 0.0157, 0.023, 0.0353, 0.0268, 0.0562, 0.2091, 0.0419, 0.1321, 0.0629, 0.1935, 0.0719, 0.0553, 0.2084, 0.0188, 0.0496]",4.3995,0.0,35,2,-0.07828,47,"[44223.46, 6804.5, 5789.3, 4891.31, 4802.06, 4570.02, 4160.73, 3912.33, 3641.0, 3310.43, 2805.85, 2604.57, 2396.4, 2038.84, 1714.18, 1564.75, 1564.74, 1515.7, 1287.2, 1251.62, 1091.75, 1088.62, 1007.23, 842.78, 815.52, 661.63, 624.06, 603.03, 576.51, 553.34, 462.06, 458.97, 440.7, 425.52, 404.69, 402.25, 395.06, 315.78, 286.24, 199.3, 198.56, 195.63, 148.84, 136.22, 90.43, 85.22, 22.37]",0,0,0,0,0,0,0,0,1,1,1,0,Synthetic Token 21,0x000000000000000000000000000000000000003f,quality=0.093
0x0000000000000000000000000000000000000016,SYN0022,base,clanker,1714442400,96,3.4363,2.7169,2,"[0.6307, 0.3306]",0.1771,0.0,10,1,0.00658,23,"[121793.19, 41195.09, 3914.98, 3561.56, 3181.03, 2875.99, 2442.2, 2293.13, 1689.8, 1553.73, 1541.8, 1467.51, 1442.41, 813.28, 305.37, 218.04, 217.47, 181.23, 168.85, 77.58, 57.72, 48.81, 30.34]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 22,0x0000000000000000000000000000000000000040,quality=0.053
0x0000000000000000000000000000000000000017,SYN0023,base,liquid,1714438800,96,2.1077,0.8488,29,"[0.0116, 0.054, 0.0256, 0.015, 0.0308, 0.291, 0.02, 0.0125, 0.0257, 0.0102, 0.0311, 0.0103, 0.0207, 0.0586, 0.3453, 0.1034, 0.0864, 0.3503, 0.0971, 0.0347, 0.1058, 0.0844, 0.0243, 0.1508, 0.0123, 0.0246, 0.1067, 0.0137, 0.0928]",0.3431,0.0,5,0,-0.02148,41,"[32602.71, 9486.2, 6327.04, 6209.18, 5243.99, 3652.49, 3494.71, 2623.16, 2467.28, 2185.46, 1556.93, 1201.26, 1061.56, 947.99, 937.22, 922.34, 875.26, 867.91, 867.58, 735.07, 577.06, 453.36, 363.43, 358.0, 351.98, 322.52, 284.85, 255.52, 234.79, 225.04, 224.81, 144.5, 112.56, 111.16, 108.46, 86.53, 78.96, 50.71, 29.64, 29.6, 27.26]",0,0,0,0,1,1,0,0,1,1,1,1,Synthetic Token 23,0x0000000000000000000000000000000000000041,quality=0.282
0x0000000000000000000000000000000000000018,SYN0024,base,clanker,1714435200,96,0.6039,0.2884,2,"[0.9136, 0.0883]",0.6786,0.0,20,0,0.01572,5,"[20200.67, 4795.66, 516.78, 312.99, 164.44]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 24,0x0000000000000000000000000000000000000042,quality=0.000
0x0000000000000000000000000000000000000019,SYN0025,base,clanker,1714431600,96,2.7915,2.0049,9,"[0.217, 0.0475, 0.0678, 0.2514, 0.0554, 0.1721, 0.0224, 0.12, 0.0209]",2.3911,0.0,6,0,0.04282,9,"[9160.08, 6277.76, 2852.1, 1807.8, 1532.27, 672.63, 343.43, 215.72, 118.7]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 25,0x0000000000000000000000000000000000000043,quality=0.007
0x000000000000000000000000000000000000001a,SYN0026,base,bankr,1714428000,96,2.4771,1.7769,9,"[0.1045, 0.3185, 0.0558, 0.1231, 0.4281, 0.1391, 0.0651, 0.0395, 0.8753]",0.7205,0.047,5,0,-0.01165,47,"[137765.84, 80806.59, 36405.54, 30430.47, 25586.42, 22204.41, 16166.04, 13580.38, 5750.76, 3968.79, 3755.88, 3377.81, 2552.99, 2404.9, 2225.43, 2182.8, 2119.81, 2034.44, 1968.89, 1839.71, 1784.42, 1731.05, 1470.17, 1422.99, 1180.35, 1116.14, 1018.09, 888.19, 757.89, 742.29, 700.62, 605.08, 516.76, 509.91, 489.91, 409.01, 398.99, 379.08, 362.04, 338.4, 317.32, 234.34, 231.04, 226.56, 221.2, 157.92, 96.35]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 26,0x0000000000000000000000000000000000000044,quality=0.004
0x000000000000000000000000000000000000001b,SYN0027,base,liquid,1714424400,96,7.3187,4.5062,9,"[1.0677, 0.2894, 2.9402, 1.0481, 1.9921, 2.309, 0.1469, 0.5239, 0.0178]",25.9984,0.0,21,2,0.02537,15,"[12360.34, 9573.8, 1369.0, 1223.97, 924.96, 686.6, 682.76, 508.55, 404.19, 379.72, 367.22, 353.33, 286.08, 216.01, 192.69]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 27,0x0000000000000000000000000000000000000045,quality=0.107
0x000000000000000000000000000000000000001c,SYN0028,base,filterfun,1714420800,96,2.8516,1.3873,15,"[0.2969, 0.1377, 0.0476, 0.0747, 0.408, 0.5162, 0.0121, 0.0106, 0.5678, 0.0653, 0.0108, 0.0872, 0.0585, 0.0292, 0.0349]",0.2647,0.0,5,1,0.03584,7,"[10710.08, 6115.63, 1751.72, 851.33, 210.12, 194.05, 16.73]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 28,0x0000000000000000000000000000000000000046,quality=0.002
0x000000000000000000000000000000000000001d,SYN0029,base,clanker,1714417200,96,1.6723,1.2048,10,"[0.0197, 0.1289, 0.1285, 0.4332, 0.0643, 0.0172, 0.1212, 0.0597, 0.1597, 0.0145]",4.8021,0.7565,15,1,0.03962,60,"[140409.56, 40671.5, 21077.4, 7935.91, 7287.93, 6322.48, 4456.06, 4286.67, 4144.02, 4043.21, 3698.05, 2695.43, 2272.11, 2157.52, 2153.33, 2077.6, 2064.87, 1917.92, 1898.49, 1645.04, 1400.73, 1357.08, 1138.63, 955.72, 883.17, 849.99, 794.71, 624.35, 558.59, 504.09, 497.83, 495.41, 494.86, 493.7, 447.26, 444.49, 432.25, 420.37, 363.24, 347.07, 324.99, 293.42, 288.79, 287.91, 286.18, 280.19, 271.1, 263.24, 254.73, 240.09, 231.46, 208.64, 194.18, 188.6, 170.65, 159.34, 152.35, 108.9, 82.84, 66.99]",0,0,0,0,0,0,0,0,1,1,1,1,Synthetic Token 29,0x0000000000000000000000000000000000000047,quality=0.185
0x000000000000000000000000000000000000001e,SYN0030,base,liquid,1714413600,96,2.4028,1.525,6,"[0.6773, 0.0129, 0.0968, 0.0295, 0.5845, 0.0667]",0.6763,0.1841,5,0,-0.02088,29,"[7157.59, 5014.53, 3926.45, 3536.04, 3111.49, 2219.97, 1780.6, 1451.33, 1412.54, 1085.38, 967.42, 924.4, 744.01, 681.31, 608.52, 566.8, 484.95, 471.83, 425.84, 340.29, 299.78, 284.6, 273.78, 271.32, 228.19, 194.48, 67.33, 28.12, 15.57]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 30,0x0000000000000000000000000000000000000048,quality=0.033
0x000000000000000000000000000000000000001f,SYN0031,base,clanker,1714410000,96,2.9047,1.6943,19,"[0.1236, 0.021, 0.0301, 0.1012, 0.0206, 0.0108, 1.7453, 0.0143, 0.0644, 0.1179, 0.0172, 0.0168, 0.0453, 0.2, 0.0202, 0.04, 0.5268, 0.0252, 0.0681]",4.073,0.0,14,2,0.08463,17,"[9316.78, 2507.85, 1951.18, 1330.1, 1059.35, 901.54, 731.78, 636.49, 632.51, 622.92, 556.21, 506.47, 477.17, 447.59, 155.44, 113.46, 12.04]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 31,0x0000000000000000000000000000000000000049,quality=0.161
0x0000000000000000000000000000000000000020,SYN0032,base,bankr,1714406400,96,3.2934,2.3561,5,"[0.8874, 0.4035, 0.3278, 0.1616, 0.1768]",5.0443,0.0,6,1,0.01043,6,"[10180.75, 1764.12, 1562.02, 567.84, 333.21, 248.66]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 32,0x000000000000000000000000000000000000004a,quality=0.145
0x0000000000000000000000000000000000000021,SYN0033,base,bankr,1714402800,96,0.4683,0.3705,3,"[0.0235, 0.0246, 0.1389]",3.7106,0.0,5,0,0.01071,44,"[33817.15, 21733.89, 19461.38, 11736.49, 9467.96, 9422.18, 7663.08, 5130.56, 3964.17, 2748.39, 2541.13, 2504.57, 2300.79, 2244.94, 2093.89, 2033.1, 1821.11, 1589.97, 1514.37, 1512.8, 1456.17, 1373.68, 1106.65, 1096.61, 1019.55, 982.94, 798.39, 742.57, 388.15, 362.27, 308.07, 305.11, 294.05, 290.77, 254.37, 230.92, 161.62, 134.03, 133.84, 111.5, 63.67, 56.15, 40.43, 12.55]",0,0,0,0,0,0,0,0,1,1,1,1,Synthetic Token 33,0x000000000000000000000000000000000000004b,quality=0.065
0x0000000000000000000000000000000000000022,SYN0034,base,clanker,1714399200,96,1.0794,0.9636,11,"[0.1588, 0.1719, 0.0606, 0.0927, 0.0117, 0.0253, 0.0751, 0.1671, 0.0236, 0.0408, 0.0251]",0.3249,0.0,19,0,-0.02345,22,"[8937.02, 8234.13, 6173.3, 5208.75, 4204.6, 2860.23, 2109.02, 2058.75, 1929.92, 1677.36, 1373.18, 1274.62, 829.75, 664.35, 548.06, 503.56, 487.22, 446.78, 405.96, 136.39, 128.64, 25.52]",0,0,0,0,0,0,0,0,0,0,0,0,Synthetic Token 34,0x000000000000000000000000000000000000004c,quality=0.101
